,Unnamed: 0,datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
3093,3093,2021,Beijing,36.0,20.0,28.6,34.8,20.0,27.9,52.6,36.6,0.0,0,0.0,,0.0,0.0,17.9,13.4,92.6,1001.7,30.8,7.3,328.5,28.4,10,,2021-06-21T04:46:07,2021-06-21T19:46:23,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
1287,1287,2016,Beijing,36.0,26.0,31.4,38.9,26.0,34.1,21.2,56.2,0.0,0,0.0,,,,43.2,25.2,181.6,999.4,31.0,8.2,220.3,19.0,6,,2016-07-11T04:55:37,2016-07-11T19:43:59,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3848,3848,2023,Beijing,36.0,21.0,30.5,35.8,21.0,30.4,59.5,41.4,0.0,0,0.0,,0.0,0.0,29.1,11.2,303.5,1005.5,41.1,7.9,330.6,28.7,9,10.0,2023-07-16T04:58:49,2023-07-16T19:41:51,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
2006,2006,2018,Beijing,36.0,21.0,28.1,38.1,21.0,28.6,17.5,55.3,0.3,100,4.17,rain,0.0,0.0,,32.4,86.8,1003.0,30.1,10.8,314.2,27.1,9,,2018-06-30T04:48:59,2018-06-30T19:46:58,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,precipitation,"ZBAA,54511099999"
1285,1285,2016,Beijing,36.0,25.0,30.0,40.8,25.0,32.8,22.2,65.1,0.0,0,0.0,,,,,18.2,158.4,1004.5,34.4,7.8,277.9,24.0,8,,2016-07-09T04:54:16,2016-07-09T19:44:49,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
924,924,2015,Beijing,36.0,24.0,30.3,36.3,24.0,30.4,16.9,47.4,0.3,100,8.33,rain,,,50.4,22.1,352.8,1003.0,58.9,10.7,272.6,23.5,8,,2015-07-14T04:57:13,2015-07-14T19:42:54,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,precipitation,"ZBAA,54511099999"
3481,3481,2022,Beijing,36.0,22.4,29.3,36.3,22.4,29.7,66.1,58.7,0.0,0,0.0,,0.0,0.0,17.9,11.2,16.7,1001.4,28.3,7.4,332.6,28.7,9,10.0,2022-07-14T04:57:29,2022-07-14T19:42:49,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
565,565,2014,Beijing,36.0,26.8,31.6,41.9,29.1,36.3,23.2,62.2,0.0,0,0.0,,,,,21.8,177.7,1004.8,37.9,8.8,301.6,26.0,9,,2014-07-20T05:02:04,2014-07-20T19:39:04,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3849,3849,2023,Beijing,36.0,24.0,30.2,36.9,24.0,31.1,65.3,51.9,0.0,0,0.0,,0.0,0.0,18.6,13.4,142.9,1009.4,0.0,7.0,333.9,28.7,9,10.0,2023-07-17T04:59:35,2023-07-17T19:41:15,0.98,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
1997,1997,2018,Beijing,36.0,19.0,29.0,34.3,19.0,28.3,12.7,39.9,0.0,0,0.0,,0.0,0.0,,14.4,117.5,1004.8,68.2,11.3,282.5,24.5,9,,2018-06-21T04:46:03,2018-06-21T19:46:17,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
1976,1976,2018,Beijing,36.0,16.0,27.0,33.3,16.0,26.0,7.9,35.7,0.0,0,0.0,,0.0,0.0,,18.0,178.1,1013.3,7.5,10.9,335.3,28.9,10,,2018-05-31T04:48:42,2018-05-31T19:35:51,0.55,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
2714,2714,2020,Beijing,36.0,17.0,27.1,36.8,17.0,27.4,14.6,48.5,0.0,0,0.0,,0.0,0.0,25.2,14.4,135.6,1004.6,54.4,11.4,296.5,25.7,9,,2020-06-07T04:46:09,2020-06-07T19:40:50,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
1978,1978,2018,Beijing,36.0,18.0,27.7,33.8,18.0,26.7,10.0,37.4,0.0,0,0.0,,0.0,0.0,,21.6,187.1,1009.1,61.2,10.3,295.3,25.7,8,,2018-06-02T04:47:51,2018-06-02T19:37:17,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
